Running from this directory: /cluster/home/mdaha/final_fine-tuning-for-logs
Name of job: ia3_ft_1gpu_3epo_final
ID of job: 21080491
The job was run on these nodes: idun-09-14
🚀 Using device: cuda
✅ Log file creation test passed.
📂 Loading Dataset...
💾 Loading model with Accelerate...
🔧 Configuring IA3...
🔧 Applying IA3 to the model...
Total training samples: 6961
{'loss': 235.0311, 'grad_norm': 12.856817245483398, 'learning_rate': 1.9846390168970814e-05, 'epoch': 0.02}
{'loss': 236.4015, 'grad_norm': 12.496225357055664, 'learning_rate': 1.969278033794163e-05, 'epoch': 0.05}
{'loss': 233.5744, 'grad_norm': 11.922218322753906, 'learning_rate': 1.9539170506912443e-05, 'epoch': 0.07}
{'loss': 235.0317, 'grad_norm': 11.705883026123047, 'learning_rate': 1.9385560675883256e-05, 'epoch': 0.09}
{'loss': 234.4953, 'grad_norm': 11.968121528625488, 'learning_rate': 1.923195084485407e-05, 'epoch': 0.11}
{'loss': 233.9854, 'grad_norm': 12.192301750183105, 'learning_rate': 1.9078341013824884e-05, 'epoch': 0.14}
{'loss': 231.1797, 'grad_norm': 10.704962730407715, 'learning_rate': 1.89247311827957e-05, 'epoch': 0.16}
{'loss': 232.8959, 'grad_norm': 11.365867614746094, 'learning_rate': 1.8771121351766516e-05, 'epoch': 0.18}
{'loss': 232.7276, 'grad_norm': 12.479787826538086, 'learning_rate': 1.861751152073733e-05, 'epoch': 0.21}
{'loss': 233.2677, 'grad_norm': 11.63512134552002, 'learning_rate': 1.8463901689708145e-05, 'epoch': 0.23}
{'loss': 232.4714, 'grad_norm': 10.753151893615723, 'learning_rate': 1.8310291858678958e-05, 'epoch': 0.25}
{'loss': 231.7479, 'grad_norm': 10.494878768920898, 'learning_rate': 1.815668202764977e-05, 'epoch': 0.28}
{'loss': 232.1851, 'grad_norm': 10.760329246520996, 'learning_rate': 1.8003072196620586e-05, 'epoch': 0.3}
{'loss': 231.746, 'grad_norm': 10.906631469726562, 'learning_rate': 1.78494623655914e-05, 'epoch': 0.32}
{'loss': 231.3383, 'grad_norm': 10.688801765441895, 'learning_rate': 1.7695852534562215e-05, 'epoch': 0.34}
{'loss': 230.8554, 'grad_norm': 10.601415634155273, 'learning_rate': 1.7542242703533028e-05, 'epoch': 0.37}
{'loss': 228.9384, 'grad_norm': 10.54200553894043, 'learning_rate': 1.738863287250384e-05, 'epoch': 0.39}
{'loss': 231.0265, 'grad_norm': 10.540291786193848, 'learning_rate': 1.7235023041474656e-05, 'epoch': 0.41}
{'loss': 233.0203, 'grad_norm': 10.644278526306152, 'learning_rate': 1.708141321044547e-05, 'epoch': 0.44}
{'loss': 230.9516, 'grad_norm': 10.660027503967285, 'learning_rate': 1.6927803379416285e-05, 'epoch': 0.46}
{'loss': 229.7337, 'grad_norm': 10.533079147338867, 'learning_rate': 1.6774193548387098e-05, 'epoch': 0.48}
{'loss': 229.4974, 'grad_norm': 9.502763748168945, 'learning_rate': 1.6620583717357914e-05, 'epoch': 0.51}
{'loss': 229.7267, 'grad_norm': 10.133096694946289, 'learning_rate': 1.6466973886328726e-05, 'epoch': 0.53}
{'loss': 227.5186, 'grad_norm': 9.440567016601562, 'learning_rate': 1.6313364055299542e-05, 'epoch': 0.55}
{'loss': 228.5774, 'grad_norm': 10.132354736328125, 'learning_rate': 1.6159754224270355e-05, 'epoch': 0.57}
{'loss': 230.1153, 'grad_norm': 9.435153007507324, 'learning_rate': 1.600614439324117e-05, 'epoch': 0.6}
{'loss': 231.5984, 'grad_norm': 9.564719200134277, 'learning_rate': 1.5852534562211984e-05, 'epoch': 0.62}
{'loss': 230.1676, 'grad_norm': 9.780975341796875, 'learning_rate': 1.5698924731182796e-05, 'epoch': 0.64}
{'loss': 227.9609, 'grad_norm': 9.782997131347656, 'learning_rate': 1.5545314900153612e-05, 'epoch': 0.67}
{'loss': 228.6139, 'grad_norm': 9.38888168334961, 'learning_rate': 1.5391705069124425e-05, 'epoch': 0.69}
{'loss': 230.0235, 'grad_norm': 9.244194984436035, 'learning_rate': 1.523809523809524e-05, 'epoch': 0.71}
{'loss': 228.7686, 'grad_norm': 9.091754913330078, 'learning_rate': 1.5084485407066054e-05, 'epoch': 0.74}
{'loss': 229.8123, 'grad_norm': 8.44190502166748, 'learning_rate': 1.4930875576036868e-05, 'epoch': 0.76}
{'loss': 227.8263, 'grad_norm': 8.562734603881836, 'learning_rate': 1.477726574500768e-05, 'epoch': 0.78}
{'loss': 227.4822, 'grad_norm': 8.925249099731445, 'learning_rate': 1.4623655913978497e-05, 'epoch': 0.8}
{'loss': 227.0743, 'grad_norm': 8.973140716552734, 'learning_rate': 1.447004608294931e-05, 'epoch': 0.83}
{'loss': 226.9152, 'grad_norm': 8.542634963989258, 'learning_rate': 1.4316436251920125e-05, 'epoch': 0.85}
{'loss': 226.0553, 'grad_norm': 8.422785758972168, 'learning_rate': 1.4162826420890938e-05, 'epoch': 0.87}
{'loss': 228.8005, 'grad_norm': 8.616398811340332, 'learning_rate': 1.4009216589861752e-05, 'epoch': 0.9}
{'loss': 227.5288, 'grad_norm': 7.965936660766602, 'learning_rate': 1.3855606758832567e-05, 'epoch': 0.92}
{'loss': 226.8455, 'grad_norm': 8.689627647399902, 'learning_rate': 1.3701996927803381e-05, 'epoch': 0.94}
{'loss': 227.3798, 'grad_norm': 8.414230346679688, 'learning_rate': 1.3548387096774194e-05, 'epoch': 0.97}
{'loss': 226.7405, 'grad_norm': 7.782526016235352, 'learning_rate': 1.339477726574501e-05, 'epoch': 0.99}
{'loss': 207.5228, 'grad_norm': 8.372551918029785, 'learning_rate': 1.3241167434715822e-05, 'epoch': 1.01}
{'loss': 226.0705, 'grad_norm': 8.33630657196045, 'learning_rate': 1.3087557603686638e-05, 'epoch': 1.03}
{'loss': 226.1366, 'grad_norm': 8.032756805419922, 'learning_rate': 1.2933947772657451e-05, 'epoch': 1.06}
{'loss': 226.7334, 'grad_norm': 7.917512893676758, 'learning_rate': 1.2780337941628265e-05, 'epoch': 1.08}
{'loss': 227.7522, 'grad_norm': 8.109899520874023, 'learning_rate': 1.262672811059908e-05, 'epoch': 1.1}
{'loss': 225.6014, 'grad_norm': 7.577525615692139, 'learning_rate': 1.2473118279569894e-05, 'epoch': 1.12}
{'loss': 226.1722, 'grad_norm': 7.717380523681641, 'learning_rate': 1.2319508448540707e-05, 'epoch': 1.15}
{'loss': 225.8198, 'grad_norm': 7.560619354248047, 'learning_rate': 1.2165898617511523e-05, 'epoch': 1.17}
{'loss': 225.3582, 'grad_norm': 7.8911614418029785, 'learning_rate': 1.2012288786482335e-05, 'epoch': 1.19}
{'loss': 227.1463, 'grad_norm': 7.282474040985107, 'learning_rate': 1.185867895545315e-05, 'epoch': 1.22}
{'loss': 226.5441, 'grad_norm': 7.5644025802612305, 'learning_rate': 1.1705069124423964e-05, 'epoch': 1.24}
{'loss': 225.1562, 'grad_norm': 7.422759056091309, 'learning_rate': 1.1551459293394778e-05, 'epoch': 1.26}
{'loss': 225.2778, 'grad_norm': 7.222103595733643, 'learning_rate': 1.1397849462365593e-05, 'epoch': 1.29}
{'loss': 224.4621, 'grad_norm': 7.651758193969727, 'learning_rate': 1.1244239631336407e-05, 'epoch': 1.31}
{'loss': 225.2932, 'grad_norm': 7.480752944946289, 'learning_rate': 1.109062980030722e-05, 'epoch': 1.33}
{'loss': 225.2975, 'grad_norm': 7.185104846954346, 'learning_rate': 1.0937019969278036e-05, 'epoch': 1.35}
{'loss': 225.326, 'grad_norm': 7.608806133270264, 'learning_rate': 1.0783410138248848e-05, 'epoch': 1.38}
{'loss': 227.3772, 'grad_norm': 7.300021171569824, 'learning_rate': 1.0629800307219663e-05, 'epoch': 1.4}
{'loss': 225.643, 'grad_norm': 7.106986999511719, 'learning_rate': 1.0476190476190477e-05, 'epoch': 1.42}
{'loss': 224.2576, 'grad_norm': 7.202700138092041, 'learning_rate': 1.0322580645161291e-05, 'epoch': 1.45}
{'loss': 224.1692, 'grad_norm': 7.118611812591553, 'learning_rate': 1.0168970814132104e-05, 'epoch': 1.47}
{'loss': 225.0204, 'grad_norm': 6.929376125335693, 'learning_rate': 1.001536098310292e-05, 'epoch': 1.49}
{'loss': 225.8009, 'grad_norm': 7.313823699951172, 'learning_rate': 9.861751152073733e-06, 'epoch': 1.51}
{'loss': 225.8954, 'grad_norm': 7.144435882568359, 'learning_rate': 9.708141321044547e-06, 'epoch': 1.54}
{'loss': 224.4554, 'grad_norm': 6.796598434448242, 'learning_rate': 9.554531490015361e-06, 'epoch': 1.56}
{'loss': 224.1956, 'grad_norm': 7.1213788986206055, 'learning_rate': 9.400921658986176e-06, 'epoch': 1.58}
{'loss': 223.1582, 'grad_norm': 6.760533332824707, 'learning_rate': 9.24731182795699e-06, 'epoch': 1.61}
{'loss': 223.1525, 'grad_norm': 6.754607200622559, 'learning_rate': 9.093701996927804e-06, 'epoch': 1.63}
{'loss': 222.0417, 'grad_norm': 7.049534797668457, 'learning_rate': 8.940092165898619e-06, 'epoch': 1.65}
{'loss': 222.5342, 'grad_norm': 7.238922595977783, 'learning_rate': 8.786482334869433e-06, 'epoch': 1.68}
{'loss': 224.2533, 'grad_norm': 6.732263565063477, 'learning_rate': 8.632872503840246e-06, 'epoch': 1.7}
{'loss': 224.3986, 'grad_norm': 7.2584147453308105, 'learning_rate': 8.47926267281106e-06, 'epoch': 1.72}
{'loss': 223.4552, 'grad_norm': 7.026067733764648, 'learning_rate': 8.325652841781874e-06, 'epoch': 1.74}
{'loss': 224.7491, 'grad_norm': 7.0535197257995605, 'learning_rate': 8.172043010752689e-06, 'epoch': 1.77}
{'loss': 223.7057, 'grad_norm': 6.63525915145874, 'learning_rate': 8.018433179723503e-06, 'epoch': 1.79}
{'loss': 223.5088, 'grad_norm': 6.226448059082031, 'learning_rate': 7.864823348694317e-06, 'epoch': 1.81}
{'loss': 225.3911, 'grad_norm': 6.870159149169922, 'learning_rate': 7.711213517665132e-06, 'epoch': 1.84}
{'loss': 225.0564, 'grad_norm': 6.655800819396973, 'learning_rate': 7.557603686635945e-06, 'epoch': 1.86}
{'loss': 223.2963, 'grad_norm': 6.223450660705566, 'learning_rate': 7.403993855606759e-06, 'epoch': 1.88}
{'loss': 224.0248, 'grad_norm': 6.589305877685547, 'learning_rate': 7.250384024577574e-06, 'epoch': 1.91}
{'loss': 224.2278, 'grad_norm': 6.8825249671936035, 'learning_rate': 7.096774193548388e-06, 'epoch': 1.93}
{'loss': 224.269, 'grad_norm': 6.426790714263916, 'learning_rate': 6.9431643625192015e-06, 'epoch': 1.95}
{'loss': 223.2919, 'grad_norm': 6.035201549530029, 'learning_rate': 6.789554531490016e-06, 'epoch': 1.97}
{'loss': 223.9503, 'grad_norm': 6.350265026092529, 'learning_rate': 6.63594470046083e-06, 'epoch': 2.0}
{'loss': 202.5373, 'grad_norm': 6.477768421173096, 'learning_rate': 6.4823348694316445e-06, 'epoch': 2.02}
{'loss': 224.3934, 'grad_norm': 6.987128734588623, 'learning_rate': 6.328725038402458e-06, 'epoch': 2.04}
{'loss': 225.2858, 'grad_norm': 6.108560085296631, 'learning_rate': 6.175115207373272e-06, 'epoch': 2.06}
