Step	Loss	GPU Memory (MB)	CPU Usage (%)	Step Time (s)
Total Training Samples: 6961
Unique Samples: 6769
0	7.1878	9798.55	10.10	4.4030
0	8.0819	9798.55	12.70	0.5504
0	6.1602	9798.55	17.10	0.5477
0	7.6827	9798.55	15.90	0.5514
0	7.3839	9798.55	16.00	0.5479
0	7.3039	9798.55	15.10	0.5478
0	6.7545	9798.55	16.50	0.5478
0	7.5035	9798.55	15.80	0.5478
0	6.5354	9798.55	16.10	0.5475
0	7.7464	9798.55	15.10	0.5472
0	7.0388	9798.55	16.90	0.5475
0	7.7283	9798.55	15.60	0.5470
0	7.6677	9798.55	16.00	0.5476
0	7.2496	9798.55	16.00	0.5480
0	7.3432	9798.55	17.20	0.5474
0	7.1881	9798.55	17.60	0.5471
0	7.1817	9798.55	14.70	0.5472
0	6.7555	9798.55	15.70	0.5469
0	7.6783	9798.55	16.40	0.5473
0	6.9395	9798.55	14.70	0.5483
0	7.2637	9798.55	15.60	0.5468
0	7.5729	9798.55	15.60	0.5471
0	7.2837	9798.55	14.30	0.5527
0	6.9241	9798.55	14.70	0.5467
0	7.8069	9798.55	15.10	0.5500
0	7.8912	9798.55	14.80	0.5479
0	7.6258	9798.55	13.90	0.5474
0	8.2430	9798.55	15.20	0.5469
0	7.7251	9798.55	14.50	0.5506
0	8.0256	9798.55	15.40	0.5468
0	7.5735	9798.55	16.70	0.5474
0	7.2229	9798.55	17.80	0.5474
1	7.0210	9804.17	12.90	0.5489
1	7.4103	9804.17	16.40	0.5492
1	7.7754	9804.17	15.50	0.5482
1	7.2042	9804.17	15.20	0.5480
1	6.9166	9804.17	15.50	0.5485
1	7.4791	9804.17	17.20	0.5481
1	7.1667	9804.17	16.90	0.5477
1	7.7585	9804.17	15.00	0.5477
1	7.3463	9804.17	15.90	0.5478
1	6.7835	9804.17	16.50	0.5483
1	7.3906	9804.17	14.90	0.5478
1	7.3316	9804.17	16.00	0.5483
1	7.0478	9804.17	16.10	0.5478
1	7.3754	9804.17	14.90	0.5481
1	6.8612	9804.17	15.90	0.5480
1	6.4982	9804.17	15.20	0.5479
1	6.9466	9804.17	14.70	0.5477
1	6.7725	9804.17	15.80	0.5478
1	7.3671	9804.17	15.00	0.5477
1	7.1492	9804.17	13.30	0.5474
1	7.4230	9804.17	14.90	0.5477
1	6.8252	9804.17	14.90	0.5476
1	6.9764	9804.17	15.60	0.5503
1	7.1041	9804.17	15.30	0.5474
1	7.1911	9804.17	15.80	0.5488
1	7.1747	9804.17	15.40	0.5483
