Step	Loss	GPU Memory (MB)	CPU Usage (%)	Step Time (s)
Total Training Samples: 6961
Unique Samples: 6769
0	7.1807	9870.30	6.40	11.0033
0	8.0699	9870.30	9.40	0.3084
0	6.1536	9870.30	6.40	0.3093
0	7.6761	9870.30	10.60	0.3091
0	7.3741	9870.30	7.30	0.3126
0	7.2918	9870.30	5.60	0.3066
0	6.7430	9870.30	7.20	0.3087
0	7.4989	9870.30	7.30	0.3073
0	6.5383	9870.30	8.60	0.3095
0	7.7430	9870.30	9.30	0.3080
0	7.0327	9870.30	6.40	0.3063
0	7.7217	9870.30	7.40	0.3107
0	7.6508	9870.30	8.10	0.3081
0	7.2447	9870.30	8.30	0.3076
0	7.3329	9870.30	5.10	0.3076
0	7.1797	9870.30	9.50	0.3065
0	7.1658	9870.30	7.50	0.3078
0	6.7459	9870.30	7.90	0.3115
0	7.6680	9870.30	6.60	0.3066
0	6.9283	9870.30	6.10	0.3082
0	7.2496	9870.30	8.30	0.3078
0	7.5620	9870.30	10.50	0.3085
0	7.2773	9870.30	5.40	0.3061
0	6.9133	9870.30	5.60	0.3064
0	7.8006	9870.30	9.60	0.3092
0	7.8849	9870.30	7.30	0.3107
0	7.6180	9870.30	8.70	0.3094
0	8.2347	9870.30	8.70	0.3061
0	7.7229	9870.30	6.40	0.3076
0	8.0175	9870.30	8.90	0.3107
0	7.5679	9870.30	7.70	0.3090
0	7.2070	9870.30	5.40	0.3069
1	7.0189	9900.30	7.00	0.3097
1	7.4055	9900.30	9.70	0.3074
1	7.7726	9900.30	5.50	0.3074
1	7.1988	9900.30	10.20	0.3123
1	6.9097	9900.30	6.60	0.3096
1	7.4800	9900.30	8.20	0.3188
1	7.1629	9900.30	8.20	0.3076
1	7.7513	9900.30	7.80	0.3087
1	7.3429	9900.30	8.40	0.3086
1	6.7727	9900.30	7.40	0.3101
1	7.3874	9900.30	5.40	0.3073
1	7.3352	9900.30	7.40	0.3081
1	7.0454	9900.30	11.70	0.3113
1	7.3710	9900.30	6.90	0.3088
1	6.8537	9900.30	5.30	0.3070
1	6.4951	9900.30	8.60	0.3128
1	6.9441	9900.30	7.20	0.3089
1	6.7754	9900.30	11.70	0.3127
1	7.3640	9900.30	5.70	0.3069
1	7.1448	9900.30	6.20	0.3076
1	7.4208	9900.30	9.40	0.3115
1	6.8214	9900.30	7.30	0.3099
1	6.9693	9900.30	5.10	0.3065
1	7.0991	9900.30	9.70	0.3066
1	7.1888	9900.30	9.00	0.3122
1	7.1726	9900.30	7.10	0.3091
